STABBR,CITY,INSTNM,SATMT25,SATVR25,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,PCIP27,COSTT4_A
AR,Hot Springs,Hot Springs Beauty College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AR,Pine Bluff,Jefferson Regional Medical Center School of Nursing,NULL,NULL,NULL,NULL,15880.5,0,NULL
AR,Siloam Springs,John Brown University,480,535,0.7711,1173,20500,0.002,36782
AR,Springdale,Career Academy of Hair Design,NULL,NULL,NULL,NULL,6389.5,0,NULL
AR,Fort Smith,Academy of Salon and Spa,NULL,NULL,NULL,NULL,9833,0,NULL
AR,West Memphis,Arkansas State University Mid-South,NULL,NULL,NULL,NULL,PrivacySuppressed,0,14894
AR,Blytheville,Arkansas Northeastern College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,10421
AR,North Little Rock,New Tyler Barber College Inc,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AR,Harrison,North Arkansas College,NULL,NULL,NULL,NULL,7000,0,9655
AR,Springdale,Northwest Technical Institute,NULL,NULL,NULL,NULL,PrivacySuppressed,0,8331
AR,Arkadelphia,Ouachita Baptist University,480,470,0.6688,1116,21500,0.0207,34740
AR,Malvern,College of the Ouachitas,NULL,NULL,NULL,NULL,9412,0,12205
AR,Melbourne,Ozarka College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11728
AR,Clarksville,University of the Ozarks,430,390,0.8682,999,20500,0.0531,36207
AR,Morrilton,University of Arkansas Community College-Morrilton,390,370,0.7719,950,6822,0,10795
AR,Little Rock,Philander Smith College,NULL,NULL,NULL,NULL,30875,0.0534,25442
AR,Helena,Phillips Community College of the University of Arkansas,NULL,NULL,NULL,NULL,PrivacySuppressed,0,10255
AR,Pine Bluff,Southeast Arkansas College,NULL,NULL,NULL,NULL,6652.5,0,12021
AR,El Dorado,Professional Cosmetology Education Center,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AR,North Little Rock,University of Arkansas-Pulaski Technical College,NULL,NULL,NULL,NULL,15147,0,14412
AR,Hope,University of Arkansas Community College-Hope,NULL,NULL,NULL,NULL,PrivacySuppressed,0,13917
AR,Mena,University of Arkansas Community College Rich Mountain,NULL,NULL,NULL,NULL,PrivacySuppressed,0,11017
AR,Fayetteville,Paul Mitchell the School-Arkansas,NULL,NULL,NULL,NULL,11115,0,NULL
AR,Searcy,Searcy Beauty College,NULL,NULL,NULL,NULL,12653,0,NULL
AR,N Little Rock,Shorter College,NULL,NULL,NULL,NULL,27861,0,20528
AR,Walnut Ridge,Williams Baptist College,NULL,NULL,0.6051,970,19000,0,26649
AR,El Dorado,South Arkansas Community College,NULL,NULL,NULL,NULL,9471,0,12469
AR,Magnolia,Southern Arkansas University Main Campus,430,400,0.6913,989,16750,0.0034,20696
AR,Camden,Southern Arkansas University Tech,NULL,NULL,NULL,NULL,5500,0,17590
AR,Little Rock,Velvatex College of Beauty Culture,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
AR,Fort Smith,University of Arkansas-Fort Smith,NULL,NULL,NULL,NULL,14000,0.0031,15693
CA,San Francisco,Academy of Art University,NULL,NULL,NULL,NULL,35688,0,38000
CA,Oakland,Academy of Chinese Culture and Health Sciences,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,Huntington Beach,The Academy of Radio and TV Broadcasting,NULL,NULL,NULL,NULL,9500,0,NULL
CA,Alameda,Avalon School of Cosmetology-Alameda,NULL,NULL,NULL,NULL,6332,0,NULL
CA,Alameda,College of Alameda,NULL,NULL,NULL,NULL,PrivacySuppressed,0.0244,12038
CA,Santa Maria,Allan Hancock College,NULL,NULL,NULL,NULL,9500,0.0186,9932
CA,Los Angeles,American Academy of Dramatic Arts-Los Angeles,NULL,NULL,0.7701,NULL,12000,0,51581
CA,Berkeley,American Baptist Seminary of the West,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,Los Angeles,American Film Institute Conservatory,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,West Covina,American Beauty College,NULL,NULL,NULL,NULL,5635,0,NULL
CA,Los Angeles,American Career College-Los Angeles,NULL,NULL,NULL,NULL,9500,0,NULL
CA,San Francisco,American Conservatory Theater,NULL,NULL,NULL,NULL,PrivacySuppressed,0,47827
CA,Sacramento,American River College,NULL,NULL,NULL,NULL,12969,0.0063,13611
CA,Lancaster,Antelope Valley College,NULL,NULL,NULL,NULL,9250,0.0225,9973
CA,Pasadena,Art Center College of Design,NULL,NULL,0.6925,NULL,31624,0,61420
CA,Los Angeles,Associated Technical College-Los Angeles,NULL,NULL,NULL,NULL,9500,0,NULL
CA,San Diego,Associated Technical College-San Diego,NULL,NULL,NULL,NULL,9500,0,NULL
CA,Azusa,Azusa Pacific University,450,450,0.6146,1035,23092,0.01,48284
CA,Bakersfield,Bakersfield College,NULL,NULL,NULL,NULL,9000,0.0071,9472
CA,Barstow,Barstow Community College,NULL,NULL,NULL,NULL,PrivacySuppressed,0,14789
CA,National City,Bellus Academy-National City,NULL,NULL,NULL,NULL,12284,0,NULL
CA,Anaheim,Bethesda University,NULL,NULL,NULL,NULL,PrivacySuppressed,0,16877
CA,La Mirada,Biola University,470,480,0.6485,1093,24188,0.0081,48857
CA,Anaheim,Brownson Technical School,NULL,NULL,NULL,NULL,9500,0,NULL
AZ,Tempe,Bryan University,NULL,NULL,NULL,NULL,20384,0,23538
CA,Oroville,Butte College,NULL,NULL,NULL,NULL,11614.5,0.0044,11595
CA,Chatsworth,Phillips Graduate University,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,San Francisco,California Institute of Integral Studies,NULL,NULL,NULL,NULL,18750,0,NULL
CA,Aptos,Cabrillo College,NULL,NULL,NULL,NULL,10500,0.0127,14686
CA,Riverside,California Baptist University,420,430,0.6399,988,27000,0.006,41826
CA,San Francisco,California College of the Arts,NULL,NULL,0.6485,NULL,27000,0,59502
CA,San Francisco,University of California-Hastings College of Law,NULL,NULL,NULL,NULL,3000,NULL,NULL
CA,Pasadena,California Institute of Technology,770,740,0.0807,1555,12178.5,0.1406,63471
CA,Thousand Oaks,California Lutheran University,500,493,0.6419,1107,21875,0.0181,54373
CA,San Luis Obispo,California Polytechnic State University-San Luis Obispo,590,560,0.2949,1270,18631,0.0233,25300
CA,San Diego,Alliant International University-San Diego,NULL,NULL,0.8571,NULL,5000,0,28258
CA,Bakersfield,California State University-Bakersfield,NULL,NULL,0.6782,NULL,13000,0.0124,16481
CA,Turlock,California State University-Stanislaus,NULL,NULL,0.7434,NULL,14216,0.0109,16588
CA,San Bernardino,California State University-San Bernardino,390,390,0.5814,877,15000,0.0235,15988
CA,Pomona,California State Polytechnic University-Pomona,460,440,0.5916,1045,18500,0.0192,21223
CA,Chico,California State University-Chico,440,440,0.6525,997,16750,0.0033,22417
CA,Carson,California State University-Dominguez Hills,NULL,NULL,0.4791,NULL,13740.5,0.008,13027
CA,Fresno,California State University-Fresno,400,400,0.5354,907,14367,0.0051,16078
CA,Fullerton,California State University-Fullerton,470,450,0.4823,1017,14804,0.006,17049
CA,Hayward,California State University-East Bay,NULL,NULL,0.6975,NULL,15092.5,0.0069,20303
CA,Long Beach,California State University-Long Beach,470,460,0.3189,1052,15000,0.0064,18192
CA,Los Angeles,California State University-Los Angeles,390,390,0.637,870,12500,0.0069,13385
CA,Northridge,California State University-Northridge,400,400,0.4824,918,13833,0.0043,16591
CA,Sacramento,California State University-Sacramento,420,410,0.7194,937,15250,0.0063,18535
CA,Berkeley,University of California-Berkeley,650,620,0.1693,1422,13200,0.0448,34924
CA,Davis,University of California-Davis,540,510,0.4228,1218,14000,0.0204,33904
CA,Irvine,University of California-Irvine,570,490,0.4065,1206,16500,0.0143,31198
CA,Los Angeles,University of California-Los Angeles,590,570,0.1799,1334,15000,0.0672,33078
CA,Riverside,University of California-Riverside,480,460,0.6634,1078,19000,0.0285,31494
CA,La Jolla,University of California-San Diego,610,560,0.3566,1324,17500,0.0322,31043
CA,San Francisco,University of California-San Francisco,NULL,NULL,NULL,NULL,6500,NULL,NULL
CA,Santa Barbara,University of California-Santa Barbara,570,550,0.3577,1281,16300,0.0449,34998
CA,Santa Cruz,University of California-Santa Cruz,540,520,0.5785,1201,19700,0.0117,34608
CA,Palo Alto,Sofia University,NULL,NULL,NULL,NULL,PrivacySuppressed,0,NULL
CA,Modesto,California Beauty School,NULL,NULL,NULL,NULL,7664,0,NULL
CA,Fresno,California Christian College,NULL,NULL,1,NULL,PrivacySuppressed,0,13869
CA,San Francisco,Le Cordon Bleu College of Culinary Arts-San Francisco,NULL,NULL,NULL,NULL,16514,0,NULL
CA,La Mesa,California Hair Design Academy,NULL,NULL,NULL,NULL,5910,0,NULL
CA,Valencia,California Institute of the Arts,NULL,NULL,0.236,NULL,27000,0,64686
CA,Vallejo,California State University Maritime Academy,NULL,NULL,0.682,NULL,26000,0,22204
CA,San Diego,California Western School of Law,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL
CA,Redwood City,Canada College,NULL,NULL,NULL,NULL,9000,0.0097,9432
CA,Santa Clarita,College of the Canyons,NULL,NULL,NULL,NULL,10098.5,0.0269,10984
CA,Garden Grove,Career Academy of Beauty,NULL,NULL,NULL,NULL,6333,0,NULL
CA,Van Nuys,Casa Loma College-Van Nuys,NULL,NULL,0.6031,NULL,18320,0,NULL
CA,San Diego,CET-San Diego,NULL,NULL,NULL,NULL,6143,0,NULL
CA,San Jose,CET-San Jose,NULL,NULL,NULL,NULL,6143,0,NULL
CA,El Centro,CET-El Centro,NULL,NULL,NULL,NULL,6143,0,NULL
CA,Colton,CET-Colton,NULL,NULL,NULL,NULL,6143,0,NULL
CA,Watsonville,CET-Watsonville,NULL,NULL,NULL,NULL,6143,0,NULL
CA,Salinas,CET-Salinas,NULL,NULL,NULL,NULL,6143,0,NULL
